region_name,covid_movement_id
Ainamoi,2571981
Ainamoi,2571982
Ainamoi,2571983
Ainamoi,2571984
Ainamoi,2571985
Ainamoi,2571986
Ainamoi,2571987
Ainamoi,2571988
Ainamoi,2571989
Ainamoi,2571990
Ainamoi,2571991
Ainamoi,2571992
Ainamoi,2571993
Ainamoi,2571994
Ainamoi,2571995
Ainamoi,2571996
Ainamoi,2571997
Ainamoi,2571998
Ainamoi,2571999
Ainamoi,2572000
Ainamoi,2572001
Ainamoi,2572002
Ainamoi,2572003
Ainamoi,2572004
Ainamoi,2572005
Ainamoi,2572006
Ainamoi,2572007
Ainamoi,2572008
Ainamoi,2572009
Ainamoi,2572010
Ainamoi,2572011
Ainamoi,2572012
Ainamoi,2572013
Ainamoi,2572014
Ainamoi,2572015
Ainamoi,2572016
Ainamoi,2572017
Ainamoi,2572018
Ainamoi,2572019
Ainamoi,2572020
Ainamoi,2572021
Ainamoi,2572022
Ainamoi,2572023
Ainamoi,2572024
Ainamoi,2572025
Ainamoi,2572026
Ainamoi,2572027
Ainamoi,2572028
Ainamoi,2572029
Ainamoi,2572030
Ainamoi,2572031
Ainamoi,2572032
Ainamoi,2572033
Ainamoi,2572034
Ainamoi,2572035
Ainamoi,2572036
Ainamoi,2572037
Ainamoi,2572038
Ainamoi,2572039
Ainamoi,2572040
Ainamoi,2572041
Ainamoi,2572042
Ainamoi,2572043
Ainamoi,2572044
Ainamoi,2572045
Ainamoi,2572046
Ainamoi,2572047
Ainamoi,2572048
Ainamoi,2572049
Ainamoi,2572050
Ainamoi,2572051
Ainamoi,2572052
Ainamoi,2572053
Ainamoi,2572054
Ainamoi,2572055
Ainamoi,2572056
Ainamoi,2572057
Ainamoi,2572058
Ainamoi,2572059
Ainamoi,2572060
Ainamoi,2572061
Ainamoi,2572062
Ainamoi,2572063
Ainamoi,2572064
Ainamoi,2572065
Ainamoi,2572066
Ainamoi,2572067
Ainamoi,2572068
