covid_movement_id,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,covid_movement_date
2571227,-0.13607,0.17581,2020-03-18
2571228,-0.18245,0.19027,2020-03-19
2571229,-0.20029,0.18222,2020-03-20
2571230,-0.2429,0.21227,2020-03-21
2571231,-0.27657,0.25816999999999996,2020-03-22
2571232,-0.17701,0.21563000000000002,2020-03-23
2571233,-0.25633,0.23526999999999998,2020-03-24
2571234,-0.33174000000000003,0.24678000000000003,2020-03-25
2571235,-0.36332,0.25425,2020-03-26
2571236,-0.35993,0.2562,2020-03-27
2571237,-0.40857,0.31312,2020-03-28
2571238,-0.4683,0.34719,2020-03-29
2571239,-0.28403,0.26079,2020-03-30
2571240,-0.28678000000000003,0.26635,2020-03-31
2571241,-0.34287,0.26221,2020-04-01
2571242,-0.38303000000000004,0.28249,2020-04-02
2571243,-0.38497,0.27164,2020-04-03
2571244,-0.32973,0.29102,2020-04-04
2571245,-0.43068,0.34897,2020-04-05
2571246,-0.24959,0.27644,2020-04-06
2571247,-0.34642,0.29616,2020-04-07
2571248,-0.43138000000000004,0.28475,2020-04-08
2571249,-0.39976,0.30204000000000003,2020-04-09
2571250,-0.5423399999999999,0.32945,2020-04-10
2571251,-0.44213,0.31115,2020-04-11
2571252,-0.49681000000000003,0.38727,2020-04-12
2571253,-0.48963999999999996,0.34661,2020-04-13
2571254,-0.30608,0.2875,2020-04-14
2571255,-0.39198,0.28251,2020-04-15
2571256,-0.39158000000000004,0.2789,2020-04-16
2571257,-0.39547,0.2773,2020-04-17
2571258,-0.42028999999999994,0.3275,2020-04-18
2571259,-0.47147,0.37018,2020-04-19
2571260,-0.29506,0.2708,2020-04-20
2571261,-0.30121,0.27484000000000003,2020-04-21
2571262,-0.40936999999999996,0.31216,2020-04-22
2571263,-0.4272,0.31676,2020-04-23
2571264,-0.38824000000000003,0.29525999999999997,2020-04-24
2571265,-0.41823,0.32285,2020-04-25
2571266,-0.45286000000000004,0.38637,2020-04-26
2571267,-0.22676999999999997,0.28331999999999996,2020-04-27
2571268,-0.24963000000000002,0.28063,2020-04-28
2571269,-0.32965,0.26365,2020-04-29
2571270,-0.31733,0.27686,2020-04-30
2571271,-0.43906000000000006,0.28594,2020-05-01
2571272,-0.36345,0.29236999999999996,2020-05-02
2571273,-0.40213000000000004,0.33909,2020-05-03
2571274,-0.20089,0.2573,2020-05-04
2571275,-0.23018000000000002,0.23673000000000002,2020-05-05
2571276,-0.29617,0.2559,2020-05-06
2571277,-0.31697,0.25504,2020-05-07
2571278,-0.30582,0.25239,2020-05-08
2571279,-0.34435,0.26429,2020-05-09
2571280,-0.37415,0.32757,2020-05-10
2571281,-0.1702,0.24931,2020-05-11
2571282,-0.18864,0.24123000000000003,2020-05-12
2571283,-0.30118,0.24835,2020-05-13
2571284,-0.3162,0.25185,2020-05-14
2571285,-0.28385,0.25506,2020-05-15
2571286,-0.27089,0.2768,2020-05-16
2571287,-0.34541,0.33246,2020-05-17
2571288,-0.1149,0.22428,2020-05-18
2571289,-0.20013,0.22693000000000002,2020-05-19
2571290,-0.25993,0.23588,2020-05-20
2571291,-0.27360999999999996,0.24544000000000002,2020-05-21
2571292,-0.2673,0.23348000000000002,2020-05-22
2571293,-0.22901,0.26087,2020-05-23
2571294,-0.31842,0.31328,2020-05-24
2571295,-0.30601,0.27009,2020-05-25
2571296,-0.12274000000000002,0.23314000000000001,2020-05-26
2571297,-0.23775,0.23518000000000003,2020-05-27
2571298,-0.24464,0.23231,2020-05-28
2571299,-0.19538,0.22971,2020-05-29
2571300,-0.18439,0.23831999999999998,2020-05-30
2571301,-0.28308,0.27897,2020-05-31
2571302,-0.26456999999999997,0.24861999999999998,2020-06-01
2571303,-0.07736,0.21213,2020-06-02
2571304,-0.19115,0.22075999999999998,2020-06-03
2571305,-0.19615,0.22096,2020-06-04
2571306,-0.17912,0.21338000000000001,2020-06-05
2571307,-0.18983,0.23134000000000002,2020-06-06
2571308,-0.2353,0.2711,2020-06-07
2571309,-0.05886,0.20779,2020-06-08
2571310,-0.07643,0.20055,2020-06-09
2571311,-0.21716,0.23168000000000002,2020-06-10
2571312,-0.19027,0.20352,2020-06-11
2571313,-0.16229000000000002,0.2062,2020-06-12
2571314,-0.11813,0.21591999999999997,2020-06-13
2571315,-0.23813,0.27366,2020-06-14
2571316,-0.060239999999999995,0.21244000000000002,2020-06-15
2571317,-0.05015,0.20828000000000002,2020-06-16
2571318,-0.18588,0.20558,2020-06-17
2571319,-0.20268,0.19692,2020-06-18
2571320,-0.18706,0.1992,2020-06-19
2571321,-0.15971,0.20179,2020-06-20
2571322,-0.19634000000000001,0.24506,2020-06-21
2571323,-0.06358,0.19169,2020-06-22
2571324,-0.056220000000000006,0.20115999999999998,2020-06-23
2571325,-0.15436,0.18987,2020-06-24
2571326,-0.19651,0.19577999999999998,2020-06-25
2571327,-0.17085,0.19504000000000002,2020-06-26
2571328,-0.14004,0.2116,2020-06-27
2571329,-0.19777,0.25065,2020-06-28
2571330,-0.04579,0.19559,2020-06-29
2571331,-0.03733,0.19047999999999998,2020-06-30
2571332,-0.13323,0.18832000000000002,2020-07-01
2571333,-0.15773,0.18979000000000001,2020-07-02
2571334,-0.12908,0.17831,2020-07-03
2571335,-0.06667999999999999,0.20096,2020-07-04
2571336,-0.13725,0.23046999999999998,2020-07-05
2571337,0.007370000000000001,0.18294000000000002,2020-07-06
2571338,-0.01043,0.17884,2020-07-07
2571339,-0.1238,0.17428,2020-07-08
2571340,-0.15794,0.18899000000000002,2020-07-09
2571341,-0.15798,0.18559,2020-07-10
2571342,-0.08066,0.18899999999999997,2020-07-11
2571343,-0.15267999999999998,0.23117,2020-07-12
2571344,0.0103,0.18702,2020-07-13
2571345,-0.03533,0.18067,2020-07-14
2571346,-0.14231,0.18725,2020-07-15
2571347,-0.14484,0.18844,2020-07-16
2571348,-0.13495,0.18347,2020-07-17
2571349,-0.09347000000000001,0.19127,2020-07-18
2571350,-0.15903,0.2455,2020-07-19
2571351,-0.02914,0.21313000000000001,2020-07-20
2571352,-0.01348,0.19366,2020-07-21
2571353,-0.15492999999999998,0.19905,2020-07-22
2571354,-0.16809000000000002,0.20174,2020-07-23
2571355,-0.14452,0.18742,2020-07-24
2571356,-0.06837,0.19259,2020-07-25
2571357,-0.11395,0.2415,2020-07-26
2571358,-0.00409,0.17918,2020-07-27
2571359,-0.04281,0.20521,2020-07-28
2571360,-0.13093,0.18997999999999998,2020-07-29
2571361,-0.12749000000000002,0.18156,2020-07-30
2571362,-0.24911999999999998,0.20826,2020-07-31
2571363,-0.12165,0.19844,2020-08-01
