Unnamed: 0,county,constituencies
271,NAIROBI,EMBAKASI EAST
272,NAIROBI,EMBAKASI NORTH
273,NAIROBI,EMBAKASI CENTRAL
274,NAIROBI,EMBAKASI SOUTH
276,KITUI,MWINGI WEST
278,KITUI,MWINGI NORTH
279,NYANDARUA,OL JOROK
280,NYANDARUA,OL KALOU
281,MIGORI,SUNA EAST
0,KILIFI,KILIFI NORTH
1,KILIFI,CHONYI
2,KILIFI,KAUMA
